📅 [2020.01.31] | SMA: -0.67 | BB: -0.90 | RSI:  0.00 | VOL: -0.51 | TOTAL: -2.08
📅 [2020.02.03] | SMA: -0.61 | BB: -0.90 | RSI:  0.00 | VOL: -0.40 | TOTAL: -1.91
📅 [2020.02.04] | SMA: -0.55 | BB: -0.11 | RSI:  0.00 | VOL:  0.62 | TOTAL: -0.04
📅 [2020.02.05] | SMA: -0.39 | BB:  0.57 | RSI:  0.00 | VOL:  0.59 | TOTAL:  0.77
📅 [2020.02.06] | SMA: -0.24 | BB:  0.50 | RSI:  0.00 | VOL: -0.11 | TOTAL:  0.16
👑 [골든크로스] slope: 0.02181 | score: 0.78
📅 [2020.02.07] | SMA:  0.78 | BB:  0.49 | RSI:  0.00 | VOL: -1.00 | TOTAL:  0.27
📅 [2020.02.10] | SMA:  0.22 | BB:  0.73 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.05
📅 [2020.02.11] | SMA:  0.34 | BB:  0.84 | RSI:  0.00 | VOL: -0.09 | TOTAL:  1.09
📅 [2020.02.12] | SMA:  0.43 | BB:  0.90 | RSI:  0.00 | VOL: -0.90 | TOTAL:  0.43
📅 [2020.02.13] | SMA:  0.48 | BB:  0.86 | RSI:  0.00 | VOL:  0.27 | TOTAL:  1.62
📅 [2020.02.14] | SMA:  0.57 | BB:  0.90 | RSI: -1.00 | VOL: -0.79 | TOTAL: -0.32
📅 [2020.02.18] | SMA:  0.62 | BB:  0.90 | RSI:  0.00 | VOL: -0.95 | TOTAL:  0.57
📅 [2020.02.19] | SMA:  0.64 | BB:  0.90 | RSI: -1.00 | VOL: -1.00 | TOTAL: -0.46
📅 [2020.02.20] | SMA:  0.59 | BB:  0.90 | RSI: -1.00 | VOL: -1.00 | TOTAL: -0.51
📅 [2020.02.21] | SMA:  0.53 | BB:  0.23 | RSI: -1.00 | VOL:  1.00 | TOTAL:  0.76
📅 [2020.02.24] | SMA:  0.24 | BB: -0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL:  0.34
☠️ [데드크로스] slope: -0.02942 | score: -0.88
📅 [2020.02.25] | SMA: -0.88 | BB: -0.90 | RSI:  1.00 | VOL:  1.00 | TOTAL:  0.22
📅 [2020.02.26] | SMA: -0.60 | BB: -0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL: -0.50
📅 [2020.02.27] | SMA: -1.09 | BB: -0.90 | RSI:  1.00 | VOL:  1.00 | TOTAL:  0.01
📅 [2020.02.28] | SMA: -1.60 | BB: -0.90 | RSI:  1.00 | VOL:  1.00 | TOTAL: -0.50
📅 [2020.03.02] | SMA: -1.60 | BB: -0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL: -1.50
📅 [2020.03.03] | SMA: -1.60 | BB: -0.90 | RSI:  1.00 | VOL:  1.00 | TOTAL: -0.50
📅 [2020.03.04] | SMA: -1.60 | BB: -0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL: -1.50
📅 [2020.03.05] | SMA: -1.60 | BB: -0.90 | RSI:  1.00 | VOL:  1.00 | TOTAL: -0.50
📅 [2020.03.06] | SMA: -1.60 | BB: -0.90 | RSI:  1.00 | VOL:  1.00 | TOTAL: -0.50
📅 [2020.03.09] | SMA: -1.60 | BB: -0.90 | RSI:  1.00 | VOL:  1.00 | TOTAL: -0.50
📅 [2020.03.10] | SMA: -1.60 | BB: -0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL: -1.50
📅 [2020.03.11] | SMA: -1.60 | BB: -0.90 | RSI:  1.00 | VOL:  1.00 | TOTAL: -0.50
📅 [2020.03.12] | SMA: -1.60 | BB: -0.90 | RSI:  1.00 | VOL:  1.00 | TOTAL: -0.50
📅 [2020.03.13] | SMA: -1.60 | BB: -0.51 | RSI:  0.00 | VOL:  1.00 | TOTAL: -1.11
📅 [2020.03.16] | SMA: -1.60 | BB: -0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL: -1.50
📅 [2020.03.17] | SMA: -1.60 | BB: -0.52 | RSI:  0.00 | VOL:  1.00 | TOTAL: -1.12
📅 [2020.03.18] | SMA: -1.60 | BB: -0.36 | RSI:  0.00 | VOL:  1.00 | TOTAL: -0.96
📅 [2020.03.19] | SMA: -1.52 | BB: -0.81 | RSI:  0.00 | VOL: -0.31 | TOTAL: -2.64
📅 [2020.03.20] | SMA: -1.54 | BB: -0.60 | RSI:  0.00 | VOL:  1.00 | TOTAL: -1.14
📅 [2020.03.23] | SMA: -1.07 | BB: -0.90 | RSI:  0.00 | VOL:  0.36 | TOTAL: -1.61
📅 [2020.03.24] | SMA: -0.83 | BB:  0.18 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.65
📅 [2020.03.25] | SMA: -0.81 | BB: -0.32 | RSI:  0.00 | VOL:  1.00 | TOTAL: -0.13
📅 [2020.03.26] | SMA: -0.06 | BB:  0.90 | RSI:  0.00 | VOL: -0.42 | TOTAL:  0.42
👑 [골든크로스] slope: 0.04034 | score: 1.02
