📅 [2020.03.30] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.10
📅 [2020.03.31] | SMA:  0.00 | BB:  0.48 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.52
📅 [2020.04.01] | SMA:  0.00 | BB:  0.66 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.34
📅 [2020.04.02] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.10
📅 [2020.04.03] | SMA:  0.00 | BB:  0.79 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.21
📅 [2020.04.06] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.10
📅 [2020.04.07] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.10
📅 [2020.04.08] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.10
📅 [2020.04.09] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.10
📅 [2020.04.13] | SMA:  0.00 | BB:  0.90 | RSI: -1.00 | VOL: -1.00 | TOTAL: -1.10
📅 [2020.04.14] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.10
📅 [2020.04.15] | SMA:  0.00 | BB:  0.90 | RSI: -1.00 | VOL: -1.00 | TOTAL: -1.10
📅 [2020.04.16] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.10
📅 [2020.04.17] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.10
📅 [2020.04.20] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.10
👑 [골든크로스] SLOPE: 0.03264 | Scaled: 13.06 | SMA Score: 1.60
📅 [2020.04.21] | SMA:  1.60 | BB:  0.12 | RSI:  0.00 | VOL: -1.00 | TOTAL:  2.32
📅 [2020.04.22] | SMA:  0.00 | BB:  0.41 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.59
📅 [2020.04.23] | SMA:  0.00 | BB:  0.21 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.79
📅 [2020.04.24] | SMA:  0.00 | BB:  0.62 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.38
📅 [2020.04.27] | SMA:  0.00 | BB:  0.71 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.29
📅 [2020.04.28] | SMA:  0.00 | BB:  0.56 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.44
📅 [2020.04.29] | SMA:  0.00 | BB:  0.83 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.17
📅 [2020.04.30] | SMA:  0.00 | BB:  0.28 | RSI:  0.00 | VOL: -0.31 | TOTAL: -0.03
📅 [2020.05.01] | SMA:  0.00 | BB: -0.56 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.56
📅 [2020.05.04] | SMA:  0.00 | BB: -0.83 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.83
📅 [2020.05.05] | SMA:  0.00 | BB: -0.64 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.64
📅 [2020.05.06] | SMA:  0.00 | BB: -0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.90
📅 [2020.05.07] | SMA:  0.00 | BB: -0.28 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.28
📅 [2020.05.08] | SMA:  0.00 | BB:  0.66 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.34
📅 [2020.05.11] | SMA:  0.00 | BB:  0.59 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.41
📅 [2020.05.12] | SMA:  0.00 | BB: -0.57 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.57
📅 [2020.05.13] | SMA:  0.00 | BB: -0.90 | RSI:  0.00 | VOL:  0.66 | TOTAL: -0.24
📅 [2020.05.14] | SMA:  0.00 | BB:  0.18 | RSI:  0.00 | VOL:  1.00 | TOTAL:  1.18
📅 [2020.05.15] | SMA:  0.00 | BB:  0.32 | RSI:  0.00 | VOL:  1.00 | TOTAL:  1.32
📅 [2020.05.18] | SMA:  0.00 | BB:  0.66 | RSI:  0.00 | VOL: -0.89 | TOTAL: -0.23
📅 [2020.05.19] | SMA:  0.00 | BB: -0.41 | RSI:  0.00 | VOL: -0.80 | TOTAL: -1.21
📅 [2020.05.20] | SMA:  0.00 | BB:  0.28 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.72
📅 [2020.05.21] | SMA:  0.00 | BB: -0.64 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.64
📅 [2020.05.22] | SMA:  0.00 | BB: -0.08 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.08
📅 [2020.05.26] | SMA:  0.00 | BB:  0.18 | RSI:  0.00 | VOL:  0.68 | TOTAL:  0.87
📅 [2020.05.27] | SMA:  0.00 | BB:  0.77 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.23
📅 [2020.05.28] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.10
📅 [2020.05.29] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL:  1.90
📅 [2020.06.01] | SMA:  0.00 | BB:  0.45 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.55
