📅 [2022.03.30] | SMA:  0.00 | BB:  0.90 | RSI: -1.00 | VOL: -1.00 | TOTAL: -1.10
📅 [2022.03.31] | SMA:  0.00 | BB:  0.83 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.17
📅 [2022.04.01] | SMA:  0.00 | BB:  0.56 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.44
📅 [2022.04.04] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.10
👑 [골든크로스] SLOPE: 0.01845 | Scaled: 7.38 | SMA Score: 1.60
📅 [2022.04.05] | SMA:  1.60 | BB:  0.70 | RSI:  0.00 | VOL: -1.00 | TOTAL:  2.90
📅 [2022.04.06] | SMA:  0.00 | BB:  0.33 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.67
📅 [2022.04.07] | SMA:  0.00 | BB:  0.13 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.87
📅 [2022.04.08] | SMA:  0.00 | BB: -0.28 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.28
📅 [2022.04.11] | SMA:  0.00 | BB: -0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.90
📅 [2022.04.12] | SMA:  0.00 | BB: -0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.90
📅 [2022.04.13] | SMA:  0.00 | BB: -0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.90
📅 [2022.04.14] | SMA:  0.00 | BB: -0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.90
📅 [2022.04.18] | SMA:  0.00 | BB: -0.90 | RSI:  1.00 | VOL: -1.00 | TOTAL: -0.90
📅 [2022.04.19] | SMA:  0.00 | BB: -0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.90
📅 [2022.04.20] | SMA:  0.00 | BB: -0.52 | RSI:  0.00 | VOL:  1.00 | TOTAL:  0.48
📅 [2022.04.21] | SMA:  0.00 | BB: -0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.90
📅 [2022.04.22] | SMA:  0.00 | BB: -0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL:  0.10
📅 [2022.04.25] | SMA:  0.00 | BB: -0.90 | RSI:  1.00 | VOL:  1.00 | TOTAL:  1.10
📅 [2022.04.26] | SMA:  0.00 | BB: -0.90 | RSI:  1.00 | VOL:  1.00 | TOTAL:  1.10
📅 [2022.04.27] | SMA:  0.00 | BB: -0.90 | RSI:  1.00 | VOL:  1.00 | TOTAL:  1.10
📅 [2022.04.28] | SMA:  0.00 | BB: -0.90 | RSI:  0.00 | VOL: -0.69 | TOTAL: -1.59
📅 [2022.04.29] | SMA:  0.00 | BB: -0.90 | RSI:  1.00 | VOL:  1.00 | TOTAL:  1.10
☠️ [데드크로스] SLOPE: -0.02043 | Scaled: -8.17 | SMA Score: -1.60
📅 [2022.05.02] | SMA: -1.60 | BB: -0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL: -3.10
📅 [2022.05.03] | SMA:  0.00 | BB: -0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.90
📅 [2022.05.04] | SMA:  0.00 | BB: -0.80 | RSI:  0.00 | VOL:  0.29 | TOTAL: -0.52
📅 [2022.05.05] | SMA:  0.00 | BB: -0.90 | RSI:  0.00 | VOL:  0.81 | TOTAL: -0.09
📅 [2022.05.06] | SMA:  0.00 | BB: -0.90 | RSI:  0.00 | VOL: -0.59 | TOTAL: -1.49
📅 [2022.05.09] | SMA:  0.00 | BB: -0.90 | RSI:  1.00 | VOL:  0.55 | TOTAL:  0.65
📅 [2022.05.10] | SMA:  0.00 | BB: -0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL:  0.10
📅 [2022.05.11] | SMA:  0.00 | BB: -0.90 | RSI:  1.00 | VOL:  0.18 | TOTAL:  0.28
📅 [2022.05.12] | SMA:  0.00 | BB: -0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL:  0.10
📅 [2022.05.13] | SMA:  0.00 | BB: -0.90 | RSI:  0.00 | VOL: -0.72 | TOTAL: -1.62
📅 [2022.05.16] | SMA:  0.00 | BB: -0.90 | RSI:  0.00 | VOL: -0.51 | TOTAL: -1.41
📅 [2022.05.17] | SMA:  0.00 | BB: -0.64 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.64
📅 [2022.05.18] | SMA:  0.00 | BB: -0.90 | RSI:  0.00 | VOL:  0.98 | TOTAL:  0.08
📅 [2022.05.19] | SMA:  0.00 | BB: -0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL:  0.10
📅 [2022.05.20] | SMA:  0.00 | BB: -0.90 | RSI:  0.00 | VOL:  0.22 | TOTAL: -0.68
📅 [2022.05.23] | SMA:  0.00 | BB: -0.71 | RSI:  0.00 | VOL: -0.00 | TOTAL: -0.71
📅 [2022.05.24] | SMA:  0.00 | BB: -0.90 | RSI:  0.00 | VOL: -0.93 | TOTAL: -1.83
📅 [2022.05.25] | SMA:  0.00 | BB: -0.61 | RSI:  0.00 | VOL: -0.29 | TOTAL: -0.91
📅 [2022.05.26] | SMA:  0.00 | BB:  0.19 | RSI:  0.00 | VOL: -0.80 | TOTAL: -0.61
📅 [2022.05.27] | SMA:  0.00 | BB:  0.70 | RSI:  0.00 | VOL: -0.98 | TOTAL: -0.28
📅 [2022.05.31] | SMA:  0.00 | BB:  0.39 | RSI:  0.00 | VOL:  1.00 | TOTAL:  1.39
📅 [2022.06.01] | SMA:  0.00 | BB:  0.29 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.71
📅 [2022.06.02] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.10
📅 [2022.06.03] | SMA:  0.00 | BB:  0.52 | RSI:  0.00 | VOL:  0.47 | TOTAL:  0.99
📅 [2022.06.06] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.10
📅 [2022.06.07] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.10
📅 [2022.06.08] | SMA:  0.00 | BB:  0.27 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.73
📅 [2022.06.09] | SMA:  0.00 | BB: -0.81 | RSI:  0.00 | VOL: -0.95 | TOTAL: -1.76
📅 [2022.06.10] | SMA:  0.00 | BB: -0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL:  0.10
📅 [2022.06.13] | SMA:  0.00 | BB: -0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL:  0.10
📅 [2022.06.14] | SMA:  0.00 | BB:  0.16 | RSI:  0.00 | VOL:  1.00 | TOTAL:  1.16
📅 [2022.06.15] | SMA:  0.00 | BB: -0.18 | RSI:  0.00 | VOL:  1.00 | TOTAL:  0.82
📅 [2022.06.16] | SMA:  0.00 | BB: -0.57 | RSI:  0.00 | VOL:  1.00 | TOTAL:  0.43
📅 [2022.06.17] | SMA:  0.00 | BB: -0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL:  0.10
📅 [2022.06.21] | SMA:  0.00 | BB: -0.90 | RSI:  0.00 | VOL:  0.05 | TOTAL: -0.85
📅 [2022.06.22] | SMA:  0.00 | BB: -0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.90
📅 [2022.06.23] | SMA:  0.00 | BB: -0.82 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.82
📅 [2022.06.24] | SMA:  0.00 | BB:  0.25 | RSI:  0.00 | VOL:  1.00 | TOTAL:  1.25
📅 [2022.06.27] | SMA:  0.00 | BB:  0.17 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.83
📅 [2022.06.28] | SMA:  0.00 | BB: -0.42 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.42
📅 [2022.06.29] | SMA:  0.00 | BB: -0.14 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.14
📅 [2022.06.30] | SMA:  0.00 | BB:  0.15 | RSI:  0.00 | VOL: -0.76 | TOTAL: -0.61
📅 [2022.07.01] | SMA:  0.00 | BB:  0.61 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.39
📅 [2022.07.05] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.10
📅 [2022.07.06] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.10
📅 [2022.07.07] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.10
📅 [2022.07.08] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.10
📅 [2022.07.11] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.10
📅 [2022.07.12] | SMA:  0.00 | BB:  0.47 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.53
📅 [2022.07.13] | SMA:  0.00 | BB:  0.22 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.78
📅 [2022.07.14] | SMA:  0.00 | BB: -0.07 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.07
📅 [2022.07.15] | SMA:  0.00 | BB:  0.60 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.40
📅 [2022.07.18] | SMA:  0.00 | BB:  0.26 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.74
📅 [2022.07.19] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL: -0.87 | TOTAL:  0.03
📅 [2022.07.20] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.10
📅 [2022.07.21] | SMA:  0.00 | BB:  0.90 | RSI: -1.00 | VOL: -0.74 | TOTAL: -0.84
👑 [골든크로스] SLOPE: 0.01858 | Scaled: 7.43 | SMA Score: 1.60
📅 [2022.07.22] | SMA:  1.60 | BB:  0.90 | RSI: -1.00 | VOL: -1.00 | TOTAL:  2.10
📅 [2022.07.25] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.10
📅 [2022.07.26] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL:  0.94 | TOTAL:  1.84
📅 [2022.07.27] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL:  0.07 | TOTAL:  0.97
📅 [2022.07.28] | SMA:  0.00 | BB:  0.90 | RSI: -1.00 | VOL: -1.00 | TOTAL: -1.10
📅 [2022.07.29] | SMA:  0.00 | BB:  0.90 | RSI: -1.00 | VOL: -0.61 | TOTAL: -0.71
📅 [2022.08.01] | SMA:  0.00 | BB:  0.90 | RSI: -1.00 | VOL: -1.00 | TOTAL: -1.10
📅 [2022.08.02] | SMA:  0.00 | BB:  0.90 | RSI: -1.00 | VOL:  0.58 | TOTAL:  0.48
📅 [2022.08.03] | SMA:  0.00 | BB:  0.90 | RSI: -1.00 | VOL:  0.12 | TOTAL:  0.02
